Whatsapp Number,Sonta,CAMPUS
233320525022,Dancing Stars,ACM
233605137652,Dancing Stars,AIT
233025776696,Dancing Stars,ASHESI
233858826972,Dancing Stars,CENTRAL MIOTSO
233296968210,Dancing Stars,COMMUNITIES GENERAL
233854287264,Dancing Stars,GIJ/NAFTI
233229566983,Dancing Stars,GIMPA
233593894445,Dancing Stars,GTUC
233625815093,Dancing Stars,KINGS UNIVERSITY
233520629821,Dancing Stars,KORLE-BU
233565630476,Dancing Stars,LANCASTER
233726122673,Dancing Stars,LEGON CENTRAL
233632899089,Dancing Stars,LEGON CITY CAMPUS
233489848592,Dancing Stars,LEGON DIASPORA
233867414946,Dancing Stars,LEGON GENERAL CENTRAL
233253749499,Dancing Stars,LEGON GENERAL DIASPORA
233444856224,Dancing Stars,LEGON GENERAL PENT CITY
233457191223,Dancing Stars,Legon Pent City
233718641874,Dancing Stars,MARITIME
233417327233,Dancing Stars,METHODIST UNIVERSITY
233660993381,Dancing Stars,PANTANG NTC
233651712783,Dancing Stars,PENTECOST
233385817212,Dancing Stars,Tema Narh-Bita
233564674564,Dancing Stars,TESHIE FAMILY HEALTH
233859634631,Dancing Stars,TESHIE NMTC
233436713104,Dancing Stars,UPSA
233132298071,Dancing Stars,UPSA General
233838520305,Dancing Stars,VALLEY VIEW UNIVERSITY
233949934845,Dancing Stars,WEBSTER
233928796898,Dancing Stars,WISCONSIN
233948229453,Sanctifiers,ACCRA POLY
233904483825,Sanctifiers,ACM
233650929919,Sanctifiers,AIT
233729139989,Sanctifiers,ASHESI
233852558877,Sanctifiers,CENTRAL MIOTSO
233509328377,Sanctifiers,COMMUNITIES GENERAL
233268050448,Sanctifiers,GIJ/NAFTI
233117805215,Sanctifiers,GIMPA
233368248045,Sanctifiers,GTUC
233050230840,Sanctifiers,KINGS UNIVERSITY
233573865278,Sanctifiers,KORLE-BU
233010536987,Sanctifiers,LANCASTER
233262418008,Sanctifiers,LEGON CENTRAL
233895651716,Sanctifiers,LEGON CITY CAMPUS
233418699388,Sanctifiers,LEGON DIASPORA
233855520466,Sanctifiers,LEGON GENERAL CENTRAL
233190903132,Sanctifiers,LEGON GENERAL DIASPORA
233426740944,Sanctifiers,LEGON GENERAL PENT CITY
233708177983,Sanctifiers,Legon Pent City
233632125954,Sanctifiers,MARITIME
233543223549,Sanctifiers,METHODIST UNIVERSITY
233900543069,Sanctifiers,PANTANG NTC
233487357483,Sanctifiers,PENTECOST
233629044941,Sanctifiers,Tema Narh-Bita
233560119206,Sanctifiers,TESHIE FAMILY HEALTH
233780307519,Sanctifiers,TESHIE NMTC
233833341718,Sanctifiers,UPSA
233985610705,Sanctifiers,UPSA General
233536713381,Sanctifiers,VALLEY VIEW UNIVERSITY
233435900794,Sanctifiers,WEBSTER
233939001148,Sanctifiers,WISCONSIN
233755155880,BENMP,ACCRA POLY
233991025545,BENMP,ACM
233817202190,BENMP,AIT
233396746035,BENMP,ASHESI
233740251317,BENMP,CENTRAL MIOTSO
233674206596,BENMP,COMMUNITIES GENERAL
233062644855,BENMP,GIJ/NAFTI
233184335828,BENMP,GIMPA
233703487272,BENMP,GTUC
233814090404,BENMP,KINGS UNIVERSITY
233410317678,BENMP,KORLE-BU
233229311973,BENMP,LANCASTER
233798384251,BENMP,LEGON CENTRAL
233248106880,BENMP,LEGON CITY CAMPUS
233797543530,BENMP,LEGON DIASPORA
233815096150,BENMP,LEGON GENERAL CENTRAL
233297850849,BENMP,LEGON GENERAL DIASPORA
233878889350,BENMP,LEGON GENERAL PENT CITY
233990730864,BENMP,Legon Pent City
233835474903,BENMP,MARITIME
233307862972,BENMP,METHODIST UNIVERSITY
233218161672,BENMP,PANTANG NTC
233798623265,BENMP,PENTECOST
233881678130,BENMP,Tema Narh-Bita
233378451514,BENMP,TESHIE FAMILY HEALTH
233379230687,BENMP,TESHIE NMTC
233918380347,BENMP,UPSA
233962498962,BENMP,UPSA General
233919270234,BENMP,VALLEY VIEW UNIVERSITY
233350035821,BENMP,WEBSTER
233114823551,BENMP,WISCONSIN
233191556722,Film Stars,ACCRA POLY
233476694373,Film Stars,ACM
233417325054,Film Stars,AIT
233651957791,Film Stars,ASHESI
233704565116,Film Stars,CENTRAL MIOTSO
233454878560,Film Stars,COMMUNITIES GENERAL
233810406518,Film Stars,GIJ/NAFTI
233282405249,Film Stars,GIMPA
233776797005,Film Stars,GTUC
233654043574,Film Stars,KINGS UNIVERSITY
233212815213,Film Stars,KORLE-BU
233942366566,Film Stars,LANCASTER
233308395235,Film Stars,LEGON CENTRAL
233357997374,Film Stars,LEGON CITY CAMPUS
233814168006,Film Stars,LEGON DIASPORA
233485160713,Film Stars,LEGON GENERAL CENTRAL
233325159270,Film Stars,LEGON GENERAL DIASPORA
233787584497,Film Stars,LEGON GENERAL PENT CITY
233697559700,Film Stars,Legon Pent City
233940296511,Film Stars,MARITIME
233269485285,Film Stars,METHODIST UNIVERSITY
233476498832,Film Stars,PANTANG NTC
233277366362,Film Stars,PENTECOST
233615325253,Film Stars,Tema Narh-Bita
233355721677,Film Stars,TESHIE FAMILY HEALTH
233554044698,Film Stars,TESHIE NMTC
233482556999,Film Stars,UPSA
233636497699,Film Stars,UPSA General
233783977420,Film Stars,VALLEY VIEW UNIVERSITY
233852803121,Film Stars,WEBSTER
233152223965,Film Stars,WISCONSIN
233212881446,Seeing and Hearing,ACCRA POLY
233578707075,Seeing and Hearing,ACM
233485271777,Seeing and Hearing,AIT
233866140311,Seeing and Hearing,ASHESI
233994605458,Seeing and Hearing,CENTRAL MIOTSO
233204528630,Seeing and Hearing,COMMUNITIES GENERAL
233325215217,Seeing and Hearing,GIJ/NAFTI
233949102796,Seeing and Hearing,GIMPA
233273836212,Seeing and Hearing,GTUC
233676594472,Seeing and Hearing,KINGS UNIVERSITY
233361545041,Seeing and Hearing,KORLE-BU
233947923094,Seeing and Hearing,LANCASTER
233639738380,Seeing and Hearing,LEGON CENTRAL
233842627843,Seeing and Hearing,LEGON CITY CAMPUS
233240998214,Seeing and Hearing,LEGON DIASPORA
233162450189,Seeing and Hearing,LEGON GENERAL CENTRAL
233035089579,Seeing and Hearing,LEGON GENERAL DIASPORA
233416703540,Seeing and Hearing,LEGON GENERAL PENT CITY
233552285603,Seeing and Hearing,Legon Pent City
233712930865,Seeing and Hearing,MARITIME
233152442517,Seeing and Hearing,METHODIST UNIVERSITY
233776715011,Seeing and Hearing,PANTANG NTC
233942194608,Seeing and Hearing,PENTECOST
233767694578,Seeing and Hearing,Tema Narh-Bita
233172039275,Seeing and Hearing,TESHIE FAMILY HEALTH
233452960152,Seeing and Hearing,TESHIE NMTC
233913025073,Seeing and Hearing,UPSA
233947248293,Seeing and Hearing,UPSA General
233545268671,Seeing and Hearing,VALLEY VIEW UNIVERSITY
233474638422,Seeing and Hearing,WEBSTER
233695217394,Seeing and Hearing,WISCONSIN
233924996242,Telepastors,ACCRA POLY
233648300025,Telepastors,ACM
233717173263,Telepastors,AIT
233096570885,Telepastors,ASHESI
233778712283,Telepastors,CENTRAL MIOTSO
233213664963,Telepastors,COMMUNITIES GENERAL
233190280877,Telepastors,GIJ/NAFTI
233585251794,Telepastors,GIMPA
233246742040,Telepastors,GTUC
233227978936,Telepastors,KINGS UNIVERSITY
233079055454,Telepastors,KORLE-BU
233983627793,Telepastors,LANCASTER
233795259764,Telepastors,LEGON CENTRAL
233701671865,Telepastors,LEGON CITY CAMPUS
233647904860,Telepastors,LEGON DIASPORA
233317464832,Telepastors,LEGON GENERAL CENTRAL
233691050900,Telepastors,LEGON GENERAL DIASPORA
233432028781,Telepastors,LEGON GENERAL PENT CITY
233532034695,Telepastors,Legon Pent City
233950940298,Telepastors,MARITIME
233462816423,Telepastors,METHODIST UNIVERSITY
233588653720,Telepastors,PANTANG NTC
233488552073,Telepastors,PENTECOST
233769926763,Telepastors,Tema Narh-Bita
233349819673,Telepastors,TESHIE FAMILY HEALTH
233171038336,Telepastors,TESHIE NMTC
233832198336,Telepastors,UPSA
233886968209,Telepastors,UPSA General
233272964518,Telepastors,VALLEY VIEW UNIVERSITY
233460824970,Telepastors,WEBSTER
233013745507,Telepastors,WISCONSIN
233842197879,Understanding Campaign,ACCRA POLY
233935549778,Understanding Campaign,ACM
233256132601,Understanding Campaign,AIT
233589078654,Understanding Campaign,ASHESI
233658776599,Understanding Campaign,CENTRAL MIOTSO
233379204237,Understanding Campaign,COMMUNITIES GENERAL
233498527151,Understanding Campaign,GIJ/NAFTI
233795109597,Understanding Campaign,GIMPA
233894317413,Understanding Campaign,GTUC
233638997475,Understanding Campaign,KINGS UNIVERSITY
233417401553,Understanding Campaign,KORLE-BU
233241555909,Understanding Campaign,LANCASTER
233593718706,Understanding Campaign,LEGON CENTRAL
233950634308,Understanding Campaign,LEGON CITY CAMPUS
233467639887,Understanding Campaign,LEGON DIASPORA
233312967191,Understanding Campaign,LEGON GENERAL CENTRAL
233793986018,Understanding Campaign,LEGON GENERAL DIASPORA
233093299040,Understanding Campaign,LEGON GENERAL PENT CITY
233212595285,Understanding Campaign,Legon Pent City
233331998663,Understanding Campaign,MARITIME
233855003113,Understanding Campaign,METHODIST UNIVERSITY
233760466552,Understanding Campaign,PANTANG NTC
233283072937,Understanding Campaign,PENTECOST
233534043353,Understanding Campaign,Tema Narh-Bita
233844877744,Understanding Campaign,TESHIE FAMILY HEALTH
233996535241,Understanding Campaign,TESHIE NMTC
233920414849,Understanding Campaign,UPSA
233799529258,Understanding Campaign,UPSA General
233196202037,Understanding Campaign,VALLEY VIEW UNIVERSITY
233610465473,Understanding Campaign,WEBSTER
233383495867,Understanding Campaign,WISCONSIN
233134674228,Ushers,ACCRA POLY
233054728522,Ushers,ACM
233375568907,Ushers,AIT
233892134278,Ushers,ASHESI
233789894620,Ushers,CENTRAL MIOTSO
233422367928,Ushers,COMMUNITIES GENERAL
233418402341,Ushers,GIJ/NAFTI
233364583798,Ushers,GIMPA
233520361340,Ushers,GTUC
233948011572,Ushers,KINGS UNIVERSITY
233149365221,Ushers,KORLE-BU
233470570971,Ushers,LANCASTER
233755311713,Ushers,LEGON CENTRAL
233420455197,Ushers,LEGON CITY CAMPUS
233431149594,Ushers,LEGON DIASPORA
233799018748,Ushers,LEGON GENERAL CENTRAL
233426712838,Ushers,LEGON GENERAL DIASPORA
233857043134,Ushers,LEGON GENERAL PENT CITY
233180708447,Ushers,Legon Pent City
233683983917,Ushers,MARITIME
233884886982,Ushers,METHODIST UNIVERSITY
233525970286,Ushers,PANTANG NTC
233945934563,Ushers,PENTECOST
233982108607,Ushers,Tema Narh-Bita
233963785788,Ushers,TESHIE FAMILY HEALTH
233253508891,Ushers,TESHIE NMTC
233567911372,Ushers,UPSA
233823298708,Ushers,UPSA General
233294886735,Ushers,VALLEY VIEW UNIVERSITY
233605664357,Ushers,WEBSTER
233708023577,Ushers,WISCONSIN
